,0
Start,2017-08-17 04:00:00
End,2022-12-15 16:00:00
Duration,1946 days 12:00:00
Exposure Time [%],99.15123456790124
Equity Final [$],200737.38624000017
Equity Peak [$],818788.9454999999
Return [%],100.73738624000018
Buy & Hold Return [%],312.24184959085596
Return (Ann.) [%],13.954921192608039
Volatility (Ann.) [%],126.20510613784583
Sharpe Ratio,0.11057334857248932
Sortino Ratio,0.24260091565095962
Calmar Ratio,0.17290082615388758
Max. Drawdown [%],-80.71055241915205
Avg. Drawdown [%],-9.870784757212043
Max. Drawdown Duration,1034 days 20:00:00
Avg. Drawdown Duration,31 days 12:00:00
# Trades,430
Win Rate [%],33.48837209302326
Best Trade [%],56.24488727463106
Worst Trade [%],-22.52159669420064
Avg. Trade [%],0.16224561317437214
Max. Trade Duration,20 days 16:00:00
Avg. Trade Duration,4 days 12:00:00
Profit Factor,1.211050791480007
Expectancy [%],0.6639269964885637
SQN,0.1551112573008901
_strategy,SmaCross
_equity_curve,"                           Equity  DrawdownPct   DrawdownDuration
Time                                                             
2017-08-17 04:00:00  100000.00000     0.000000                NaT
2017-08-17 08:00:00  100000.00000     0.000000                NaT
2017-08-17 12:00:00  100000.00000     0.000000                NaT
2017-08-17 16:00:00  100000.00000     0.000000                NaT
2017-08-17 20:00:00  100000.00000     0.000000                NaT
...                           ...          ...                ...
2022-12-15 00:00:00  204170.72624     0.750643                NaT
2022-12-15 04:00:00  203417.06624     0.751563                NaT
2022-12-15 08:00:00  204049.06624     0.750792                NaT
2022-12-15 12:00:00  200738.96624     0.754834                NaT
2022-12-15 16:00:00  200737.38624     0.754836 1034 days 20:00:00

[11664 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  \
0    -293        99      126   341.03656     326.59   4232.84208   0.042361   
1     318       126      139   327.24318     301.00  -8345.33124  -0.080195   
2    -319       139      192   300.39800     283.00   5549.96200   0.057916   
3     357       192      215   283.56600     258.00  -9127.06200  -0.090159   
4    -358       215      228   257.48400     293.19 -12782.74800  -0.138673   
..    ...       ...      ...         ...        ...          ...        ...   
425   182     11602    11603  1297.72026    1266.59  -5665.70732  -0.023988   
426  -182     11603    11625  1264.05682    1282.44  -3345.73876  -0.014543   
427   177     11625    11644  1285.00488    1254.40  -5417.06376  -0.023817   
428  -177     11644    11651  1251.89120    1323.78 -12724.31760  -0.057424   
429   158     11651    11663  1326.42756    1270.31  -8866.57448  -0.042307   

              EntryTime            ExitTime        Duration  
0   2017-09-02 16:00:00 2017-09-07 04:00:00 4 days 12:00:00  
1   2017-09-07 04:00:00 2017-09-09 08:00:00 2 days 04:00:00  
2   2017-09-09 08:00:00 2017-09-18 04:00:00 8 days 20:00:00  
3   2017-09-18 04:00:00 2017-09-22 00:00:00 3 days 20:00:00  
4   2017-09-22 00:00:00 2017-09-24 04:00:00 2 days 04:00:00  
..                  ...                 ...             ...  
425 2022-12-05 12:00:00 2022-12-05 16:00:00 0 days 04:00:00  
426 2022-12-05 16:00:00 2022-12-09 08:00:00 3 days 16:00:00  
427 2022-12-09 08:00:00 2022-12-12 12:00:00 3 days 04:00:00  
428 2022-12-12 12:00:00 2022-12-13 16:00:00 1 days 04:00:00  
429 2022-12-13 16:00:00 2022-12-15 16:00:00 2 days 00:00:00  

[430 rows x 10 columns]"
